63.6363636364,0.6,IR,
63.6363636364,0.5,IR,
63.6363636364,0.4,IR,
63.6363636364,0.3,IR,
72.7272727273,0.2,IR,
45.4545454545,0.1,IR,
72.7272727273,0.6,RMP,
63.6363636364,0.5,RMP,
72.7272727273,0.4,RMP,
36.3636363636,0.3,RMP,
36.3636363636,0.2,RMP,
36.3636363636,0.1,RMP,
45.4545454545,0.6,RH,
36.3636363636,0.5,RH,
72.7272727273,0.4,RH,
54.5454545455,0.3,RH,
36.3636363636,0.2,RH,
63.6363636364,0.1,RH,
45.4545454545,0.6,ST,
18.1818181818,0.5,ST,
18.1818181818,0.4,ST,
63.6363636364,0.3,ST,
81.8181818182,0.2,ST,
36.3636363636,0.1,ST,
72.7272727273,0.6,DTFS,
45.4545454545,0.5,DTFS,
72.7272727273,0.4,DTFS,
72.7272727273,0.3,DTFS,
63.6363636364,0.2,DTFS,
27.2727272727,0.1,DTFS,
36.3636363636,0.6,SA,
45.4545454545,0.5,SA,
27.2727272727,0.4,SA,
45.4545454545,0.3,SA,
72.7272727273,0.2,SA,
36.3636363636,0.1,SA,
36.3636363636,0.6,SD,
63.6363636364,0.5,SD,
63.6363636364,0.4,SD,
36.3636363636,0.3,SD,
63.6363636364,0.2,SD,
63.6363636364,0.1,SD,
36.3636363636,0.6,fAHP,
63.6363636364,0.5,fAHP,
36.3636363636,0.4,fAHP,
36.3636363636,0.3,fAHP,
63.6363636364,0.2,fAHP,
54.5454545455,0.1,fAHP,
27.2727272727,0.6,IR,RMP,
81.8181818182,0.5,IR,RMP,
45.4545454545,0.4,IR,RMP,
63.6363636364,0.3,IR,RMP,
45.4545454545,0.2,IR,RMP,
45.4545454545,0.1,IR,RMP,
45.4545454545,0.6,IR,RH,
54.5454545455,0.5,IR,RH,
45.4545454545,0.4,IR,RH,
54.5454545455,0.3,IR,RH,
63.6363636364,0.2,IR,RH,
54.5454545455,0.1,IR,RH,
36.3636363636,0.6,RMP,RH,
45.4545454545,0.5,RMP,RH,
63.6363636364,0.4,RMP,RH,
63.6363636364,0.3,RMP,RH,
63.6363636364,0.2,RMP,RH,
63.6363636364,0.1,RMP,RH,
72.7272727273,0.6,IR,ST,
54.5454545455,0.5,IR,ST,
63.6363636364,0.4,IR,ST,
45.4545454545,0.3,IR,ST,
63.6363636364,0.2,IR,ST,
45.4545454545,0.1,IR,ST,
45.4545454545,0.6,RMP,ST,
45.4545454545,0.5,RMP,ST,
45.4545454545,0.4,RMP,ST,
72.7272727273,0.3,RMP,ST,
54.5454545455,0.2,RMP,ST,
54.5454545455,0.1,RMP,ST,
36.3636363636,0.6,RH,ST,
27.2727272727,0.5,RH,ST,
36.3636363636,0.4,RH,ST,
18.1818181818,0.3,RH,ST,
36.3636363636,0.2,RH,ST,
45.4545454545,0.1,RH,ST,
45.4545454545,0.6,IR,DTFS,
54.5454545455,0.5,IR,DTFS,
54.5454545455,0.4,IR,DTFS,
45.4545454545,0.3,IR,DTFS,
45.4545454545,0.2,IR,DTFS,
45.4545454545,0.1,IR,DTFS,
63.6363636364,0.6,RMP,DTFS,
36.3636363636,0.5,RMP,DTFS,
36.3636363636,0.4,RMP,DTFS,
45.4545454545,0.3,RMP,DTFS,
54.5454545455,0.2,RMP,DTFS,
63.6363636364,0.1,RMP,DTFS,
72.7272727273,0.6,RH,DTFS,
36.3636363636,0.5,RH,DTFS,
36.3636363636,0.4,RH,DTFS,
90.9090909091,0.3,RH,DTFS,
81.8181818182,0.2,RH,DTFS,
54.5454545455,0.1,RH,DTFS,
90.9090909091,0.6,ST,DTFS,
90.9090909091,0.5,ST,DTFS,
18.1818181818,0.4,ST,DTFS,
63.6363636364,0.3,ST,DTFS,
54.5454545455,0.2,ST,DTFS,
18.1818181818,0.1,ST,DTFS,
63.6363636364,0.6,IR,SA,
63.6363636364,0.5,IR,SA,
63.6363636364,0.4,IR,SA,
63.6363636364,0.3,IR,SA,
54.5454545455,0.2,IR,SA,
63.6363636364,0.1,IR,SA,
63.6363636364,0.6,RMP,SA,
54.5454545455,0.5,RMP,SA,
36.3636363636,0.4,RMP,SA,
72.7272727273,0.3,RMP,SA,
45.4545454545,0.2,RMP,SA,
54.5454545455,0.1,RMP,SA,
27.2727272727,0.6,RH,SA,
36.3636363636,0.5,RH,SA,
54.5454545455,0.4,RH,SA,
54.5454545455,0.3,RH,SA,
45.4545454545,0.2,RH,SA,
81.8181818182,0.1,RH,SA,
90.9090909091,0.6,ST,SA,
90.9090909091,0.5,ST,SA,
72.7272727273,0.4,ST,SA,
54.5454545455,0.3,ST,SA,
45.4545454545,0.2,ST,SA,
54.5454545455,0.1,ST,SA,
45.4545454545,0.6,DTFS,SA,
54.5454545455,0.5,DTFS,SA,
36.3636363636,0.4,DTFS,SA,
45.4545454545,0.3,DTFS,SA,
45.4545454545,0.2,DTFS,SA,
36.3636363636,0.1,DTFS,SA,
36.3636363636,0.6,IR,SD,
54.5454545455,0.5,IR,SD,
54.5454545455,0.4,IR,SD,
