nClass 	IR	RMP	RH	ST	DTFS	SA	SD	fAHP
1	121.3266194	-85.56	170	-31.86	478.8	58.25805664	4.125	-0.407384533
1	300.4174232	-82.85075	70	-31.575	253.52	46.43249512	6.175003052	-0.600663548
1	230.8217049	-84.6826	140	-32.87	485.41	53.77197266	3.399993896	-1.199535709
1	389.9636507	-80.9945	80	-32.745	477.375	56.86950684	6.225006104	-0.672159464
1	169.065237	-81.8132	140	-28.58	504.4	45.53222656	4.200012207	-0.647596803
1	128.0673146	-82.66135	170	-33.14	481.91	63.72070313	4.349990845	-0.532718937
1	129.8072338	-84.7248	200	-34.515	390.715	70.09887695	4.050018311	-0.790994162
1	73.10165763	-83.6555	220	-34.985	456.78	77.31628418	3.774993896	-0.440638752
1	96.05060518	-81.4239	140	-33.265	471.49	69.01550293	3.800018311	-0.698950858
1	77.96582282	-84.9653	220	-34.7	419.87	78.09448242	3.050003052	-0.788371341
2	118.5188293	-84.825	210	-30.61	437.895	63.62915039	2.725006104	-0.55955467
2	99.06807244	-83.9958	160	-38.255	334.025	76.43127441	3.774993896	-0.449732605
2	122.9396239	-81.27535	100	-37.825	393.385	68.26782227	3.425003052	-1.21942481
2	87.30352521	-86.0903	190	-39.69	392.87	71.25854492	3.824996948	-0.391960518
2	135.0372016	-86.0927	150	-37.525	362.3	72.99804688	3.625	-0.874287193
2	72.402215	-83.3613	140	-32.685	243.865	60.66894531	4.125	-0.923497722
2	174.867779	-85.0727	120	-35.34	519.13	71.44165039	3.774993896	-1.075619826
2	117.9806232	-82.4977	160	-35.245	490.46	70.73974609	4.474990845	-0.532481758
