43.6781609195,0.5,IR,
56.3218390805,0.4,IR,
55.1724137931,0.3,IR,
58.6206896552,0.2,IR,
55.1724137931,0.1,IR,
49.4252873563,0.5,RMP,
57.4712643678,0.4,RMP,
52.8735632184,0.3,RMP,
40.2298850575,0.2,RMP,
58.6206896552,0.1,RMP,
56.3218390805,0.5,RH,
44.8275862069,0.4,RH,
59.7701149425,0.3,RH,
45.9770114943,0.2,RH,
41.3793103448,0.1,RH,
47.1264367816,0.5,ST,
43.6781609195,0.4,ST,
48.275862069,0.3,ST,
52.8735632184,0.2,ST,
57.4712643678,0.1,ST,
56.3218390805,0.5,DTFS,
47.1264367816,0.4,DTFS,
56.3218390805,0.3,DTFS,
56.3218390805,0.2,DTFS,
55.1724137931,0.1,DTFS,
44.8275862069,0.5,SA,
52.8735632184,0.4,SA,
52.8735632184,0.3,SA,
47.1264367816,0.2,SA,
52.8735632184,0.1,SA,
48.275862069,0.5,SD,
42.5287356322,0.4,SD,
51.724137931,0.3,SD,
51.724137931,0.2,SD,
42.5287356322,0.1,SD,
54.0229885057,0.5,fAHP,
60.9195402299,0.4,fAHP,
60.9195402299,0.3,fAHP,
47.1264367816,0.2,fAHP,
40.2298850575,0.1,fAHP,
50.5747126437,0.5,IR,RMP,
41.3793103448,0.4,IR,RMP,
39.0804597701,0.3,IR,RMP,
39.0804597701,0.2,IR,RMP,
56.3218390805,0.1,IR,RMP,
41.3793103448,0.5,IR,RH,
59.7701149425,0.4,IR,RH,
44.8275862069,0.3,IR,RH,
43.6781609195,0.2,IR,RH,
45.9770114943,0.1,IR,RH,
48.275862069,0.5,RMP,RH,
58.6206896552,0.4,RMP,RH,
48.275862069,0.3,RMP,RH,
56.3218390805,0.2,RMP,RH,
47.1264367816,0.1,RMP,RH,
51.724137931,0.5,IR,ST,
41.3793103448,0.4,IR,ST,
45.9770114943,0.3,IR,ST,
41.3793103448,0.2,IR,ST,
50.5747126437,0.1,IR,ST,
49.4252873563,0.5,RMP,ST,
54.0229885057,0.4,RMP,ST,
51.724137931,0.3,RMP,ST,
43.6781609195,0.2,RMP,ST,
47.1264367816,0.1,RMP,ST,
52.8735632184,0.5,RH,ST,
52.8735632184,0.4,RH,ST,
45.9770114943,0.3,RH,ST,
58.6206896552,0.2,RH,ST,
48.275862069,0.1,RH,ST,
41.3793103448,0.5,IR,DTFS,
39.0804597701,0.4,IR,DTFS,
50.5747126437,0.3,IR,DTFS,
44.8275862069,0.2,IR,DTFS,
42.5287356322,0.1,IR,DTFS,
49.4252873563,0.5,RMP,DTFS,
51.724137931,0.4,RMP,DTFS,
51.724137931,0.3,RMP,DTFS,
54.0229885057,0.2,RMP,DTFS,
50.5747126437,0.1,RMP,DTFS,
52.8735632184,0.5,RH,DTFS,
52.8735632184,0.4,RH,DTFS,
58.6206896552,0.3,RH,DTFS,
56.3218390805,0.2,RH,DTFS,
52.8735632184,0.1,RH,DTFS,
51.724137931,0.5,ST,DTFS,
50.5747126437,0.4,ST,DTFS,
45.9770114943,0.3,ST,DTFS,
45.9770114943,0.2,ST,DTFS,
47.1264367816,0.1,ST,DTFS,
42.5287356322,0.5,IR,SA,
39.0804597701,0.4,IR,SA,
44.8275862069,0.3,IR,SA,
43.6781609195,0.2,IR,SA,
54.0229885057,0.1,IR,SA,
54.0229885057,0.5,RMP,SA,
57.4712643678,0.4,RMP,SA,
52.8735632184,0.3,RMP,SA,
52.8735632184,0.2,RMP,SA,
48.275862069,0.1,RMP,SA,
48.275862069,0.5,RH,SA,
51.724137931,0.4,RH,SA,
51.724137931,0.3,RH,SA,
51.724137931,0.2,RH,SA,
50.5747126437,0.1,RH,SA,
52.8735632184,0.5,ST,SA,
57.4712643678,0.4,ST,SA,
63.2183908046,0.3,ST,SA,
43.6781609195,0.2,ST,SA,
49.4252873563,0.1,ST,SA,
50.5747126437,0.5,DTFS,SA,
50.5747126437,0.4,DTFS,SA,
55.1724137931,0.3,DTFS,SA,
52.8735632184,0.2,DTFS,SA,
58.6206896552,0.1,DTFS,SA,
34.4827586207,0.5,IR,SD,
36.7816091954,0.4,IR,SD,
37.9310344828,0.3,IR,SD,
47.1264367816,0.2,IR,SD,
60.9195402299,0.1,IR,SD,
50.5747126437,0.5,RMP,SD,
60.9195402299,0.4,RMP,SD,
48.275862069,0.3,RMP,SD,
