nClass 	IR	RMP	RH	ST	DTFS	SA	SD	fAHP
2	274.1	-78.53	65	-40.34	473.3	60.68	4.29999999999995	-0.643478260869565
2	145.5	-71.562	110	-41.63	481.9	80.05	3.30000000000001	-0.676190476190473
2	118.7	-77.41	155	-35.94	384.9	82.29	2.29999999999995	-1.023
2	233.6	-78.125	65	-42.58	500.8	89.99	2.09999999999997	-1.42528735632184
2	161.1	-76.875	130	-40.47	495.6	63.98	3.10000000000002	-0.536486486486489
2	127.8	-78.469	120	-41.81	429.3	77.72	2.19999999999999	-0.969473684210526
2	88.68	-77.375	185	-44.01	497.4	90.03	2.89999999999998	-0.399999999999998
2	147.6	-65.406	85	-39.11	317.1	55.3	5.80000000000001	-0.334586466165413
2	92.36	-76.469	140	-43.97	437.5	77.92	2.39999999999998	-0.805660377358489
2	97.31	-78.531	170	-41.89	460.4	86.04	2.19999999999993	-0.534838709677419
2	102.2	-77.87	195	-35.01	496.7	68.37	2.80000000000007	-0.692424242424246
2	109.4	-73.719	145	-40.73	486.4	82.24	2.20000000000005	-0.688805970149255
2	67.89	-72.25	205	-40.67	432.7	82.92	2.30000000000007	-1.06923076923078
2	90.39	-77.125	205	-41.24	298.7	70.99	2.80000000000001	-0.752542372881356
2	189.6	-72.219	110	-37.71	422.4	74.38	2.40000000000009	-1.22580645161291
2	106.7	-82.062	140	-41.64	403	85.82	2.5	-0.898148148148152
2	248.9	-67.938	45	-43.34	430.2	74.22	2.80000000000001	-1.090625
2	153	-74.375	90	-41.92	387.5	83.63	2.39999999999998	-0.629508196721311
2	158.8	-76.563	135	-38.17	411.9	67.83	2.89999999999998	-0.466666666666665
2	195.6	-78.156	105	-46.92	470.3	62.58	2.80000000000001	-0.533548387096774
2	94.67	-81.75	240	-42.62	442.6	90.93	2.5	-0.692660550458717
2	124.2	-76.719	130	-39.26	415.5	82.5	2.30000000000001	-1.17155963302752
2	128.8	-74.156	115	-42.96	393.7	85.42	2.10000000000002	-1.25816326530612
