nClass 	IR	RMP	RH	ST	DTFS	SA	SD	fAHP
1	180.3	-76.32	95	-36.75	357	68.51	3	-0.730833333333333
1	135.5	-83.19	130	-38.95	496.4	74.61	2.79999999999995	-0.780281690140843
1	141.5	-83.97	180	-38.22	441.6	67.12	2.39999999999998	-0.812096774193542
1	284.7	-67.91	60	-40.71	266.7	74.41	2.59999999999997	-0.865131578947369
1	107.4	-87.09	180	-39.35	325.6	76.65	2.20000000000005	-0.786875
1	276	-76.844	65	-43.22	485.7	89.46	3.09999999999997	-0.486466165413533
1	256.8	-76.969	55	-42.69	469.2	71.22	3.40000000000003	-0.930894308943093
1	138.9	-80.312	125	-39.08	362.7	84.28	2.69999999999999	-0.762222222222222
1	127.9	-73.375	150	-36.74	446.1	75.98	2.79999999999995	-0.555263157894735
1	89.82	-73.312	105	-38.14	300	83.08	2.69999999999999	-0.410084033613445
1	142.7	-71.75	145	-39.62	341.2	82.02	2.70000000000005	-0.846601941747576
1	76.07	-77.344	215	-33.45	453.9	82.73	2.10000000000002	-0.908641975308646
1	88.7	-76.906	245	-39.4	395.6	84.23	2.29999999999995	-0.520418848167539
1	100.4	-68.187	110	-40.51	414.4	80.77	2.10000000000002	-1.02765957446809
1	219.2	-72.219	75	-41.15	319.4	76.74	2.90000000000003	-0.513286713286713
1	174.2	-75.938	95	-38.08	409.8	78.6	2.5	-0.623566878980893
1	187.8	-72.719	65	-41.93	422.9	77.72	2.90000000000003	-0.521164021164022
1	90.73	-70.719	175	-39.4	392.1	82.69	2.69999999999993	-0.485714285714284
1	84.02	-78.281	165	-38.1	379.8	84.36	2.10000000000002	-1.21009174311927
1	71.79	-78.906	255	-35.14	428.3	78.99	2.10000000000002	-0.912213740458013
1	69.92	-72.062	180	-35.98	327.1	79.42	2.5	-0.767741935483871
1	146	-77.031	105	-42.29	381.9	75.45	2.40000000000003	-0.797391304347825
