nClass 	IR	RMP	RH	ST	DTFS	SA	SD	fAHP
1	180.3	-76.32	95	-36.75	357	68.51	3	-0.730833333333333
1	135.5	-83.19	130	-38.95	496.4	74.61	2.79999999999995	-0.780281690140843
1	141.5	-83.97	180	-38.22	441.6	67.12	2.39999999999998	-0.812096774193542
1	284.7	-67.91	60	-40.71	266.7	74.41	2.59999999999997	-0.865131578947369
1	107.4	-87.09	180	-39.35	325.6	76.65	2.20000000000005	-0.786875
1	276	-76.844	65	-43.22	485.7	89.46	3.09999999999997	-0.486466165413533
1	256.8	-76.969	55	-42.69	469.2	71.22	3.40000000000003	-0.930894308943093
1	138.9	-80.312	125	-39.08	362.7	84.28	2.69999999999999	-0.762222222222222
1	127.9	-73.375	150	-36.74	446.1	75.98	2.79999999999995	-0.555263157894735
1	89.82	-73.312	105	-38.14	300	83.08	2.69999999999999	-0.410084033613445
1	142.7	-71.75	145	-39.62	341.2	82.02	2.70000000000005	-0.846601941747576
1	76.07	-77.344	215	-33.45	453.9	82.73	2.10000000000002	-0.908641975308646
1	88.7	-76.906	245	-39.4	395.6	84.23	2.29999999999995	-0.520418848167539
1	100.4	-68.187	110	-40.51	414.4	80.77	2.10000000000002	-1.02765957446809
1	219.2	-72.219	75	-41.15	319.4	76.74	2.90000000000003	-0.513286713286713
1	174.2	-75.938	95	-38.08	409.8	78.6	2.5	-0.623566878980893
1	187.8	-72.719	65	-41.93	422.9	77.72	2.90000000000003	-0.521164021164022
1	90.73	-70.719	175	-39.4	392.1	82.69	2.69999999999993	-0.485714285714284
1	84.02	-78.281	165	-38.1	379.8	84.36	2.10000000000002	-1.21009174311927
1	71.79	-78.906	255	-35.14	428.3	78.99	2.10000000000002	-0.912213740458013
1	69.92	-72.062	180	-35.98	327.1	79.42	2.5	-0.767741935483871
1	146	-77.031	105	-42.29	381.9	75.45	2.40000000000003	-0.797391304347825
2	274.1	-78.53	65	-40.34	473.3	60.68	4.29999999999995	-0.643478260869565
2	145.5	-71.562	110	-41.63	481.9	80.05	3.30000000000001	-0.676190476190473
2	118.7	-77.41	155	-35.94	384.9	82.29	2.29999999999995	-1.023
2	233.6	-78.125	65	-42.58	500.8	89.99	2.09999999999997	-1.42528735632184
2	161.1	-76.875	130	-40.47	495.6	63.98	3.10000000000002	-0.536486486486489
2	127.8	-78.469	120	-41.81	429.3	77.72	2.19999999999999	-0.969473684210526
2	88.68	-77.375	185	-44.01	497.4	90.03	2.89999999999998	-0.399999999999998
2	147.6	-65.406	85	-39.11	317.1	55.3	5.80000000000001	-0.334586466165413
2	92.36	-76.469	140	-43.97	437.5	77.92	2.39999999999998	-0.805660377358489
2	97.31	-78.531	170	-41.89	460.4	86.04	2.19999999999993	-0.534838709677419
2	102.2	-77.87	195	-35.01	496.7	68.37	2.80000000000007	-0.692424242424246
2	109.4	-73.719	145	-40.73	486.4	82.24	2.20000000000005	-0.688805970149255
2	67.89	-72.25	205	-40.67	432.7	82.92	2.30000000000007	-1.06923076923078
2	90.39	-77.125	205	-41.24	298.7	70.99	2.80000000000001	-0.752542372881356
2	189.6	-72.219	110	-37.71	422.4	74.38	2.40000000000009	-1.22580645161291
2	106.7	-82.062	140	-41.64	403	85.82	2.5	-0.898148148148152
2	248.9	-67.938	45	-43.34	430.2	74.22	2.80000000000001	-1.090625
2	153	-74.375	90	-41.92	387.5	83.63	2.39999999999998	-0.629508196721311
2	158.8	-76.563	135	-38.17	411.9	67.83	2.89999999999998	-0.466666666666665
2	195.6	-78.156	105	-46.92	470.3	62.58	2.80000000000001	-0.533548387096774
2	94.67	-81.75	240	-42.62	442.6	90.93	2.5	-0.692660550458717
2	124.2	-76.719	130	-39.26	415.5	82.5	2.30000000000001	-1.17155963302752
2	128.8	-74.156	115	-42.96	393.7	85.42	2.10000000000002	-1.25816326530612
