nClass 	IR	RMP	RH	ST	DTFS	SA	SD	fAHP
1	89,82	-73,312	105	-38,14	300	83,08	2,7	-0,410084034
1	90,73	-70,719	175	-39,4	392,1	82,69	2,7	-0,485714286
1	276	-76,844	65	-43,22	485,7	89,46	3,1	-0,486466165
1	219,2	-72,219	75	-41,15	319,4	76,74	2,9	-0,513286713
1	88,7	-76,906	245	-39,4	395,6	84,23	2,3	-0,520418848
1	187,8	-72,719	65	-41,93	422,9	77,72	2,9	-0,521164021
1	127,9	-73,375	150	-36,74	446,1	75,98	2,8	-0,555263158
1	174,2	-75,938	95	-38,08	409,8	78,6	2,5	-0,623566879
1	180,3	-76,32	95	-36,75	357	68,51	3	-0,730833333
1	138,9	-80,312	125	-39,08	362,7	84,28	2,7	-0,762222222
1	69,92	-72,062	180	-35,98	327,1	79,42	2,5	-0,767741935
1	135,5	-83,19	130	-38,95	496,4	74,61	2,8	-0,78028169
1	107,4	-87,09	180	-39,35	325,6	76,65	2,2	-0,786875
1	146	-77,031	105	-42,29	381,9	75,45	2,4	-0,797391304
1	141,5	-83,97	180	-38,22	441,6	67,12	2,4	-0,812096774
1	142,7	-71,75	145	-39,62	341,2	82,02	2,7	-0,846601942
1	284,7	-67,91	60	-40,71	266,7	74,41	2,6	-0,865131579
1	76,07	-77,344	215	-33,45	453,9	82,73	2,1	-0,908641975
1	71,79	-78,906	255	-35,14	428,3	78,99	2,1	-0,91221374
1	256,8	-76,969	55	-42,69	469,2	71,22	3,4	-0,930894309
1	100,4	-68,187	110	-40,51	414,4	80,77	2,1	-1,027659574
1	84,02	-78,281	165	-38,1	379,8	84,36	2,1	-1,210091743
2	147,6	-65,406	85	-39,11	317,1	55,3	5,8	-0,334586466
2	88,68	-77,375	185	-44,01	497,4	90,03	2,9	-0,4
2	158,8	-76,563	135	-38,17	411,9	67,83	2,9	-0,466666667
2	195,6	-78,156	105	-46,92	470,3	62,58	2,8	-0,533548387
2	97,31	-78,531	170	-41,89	460,4	86,04	2,2	-0,53483871
2	161,1	-76,875	130	-40,47	495,6	63,98	3,1	-0,536486486
2	153	-74,375	90	-41,92	387,5	83,63	2,4	-0,629508197
2	274,1	-78,53	65	-40,34	473,3	60,68	4,3	-0,643478261
2	145,5	-71,562	110	-41,63	481,9	80,05	3,3	-0,676190476
2	109,4	-73,719	145	-40,73	486,4	82,24	2,2	-0,68880597
2	102,2	-77,87	195	-35,01	496,7	68,37	2,8	-0,692424242
2	94,67	-81,75	240	-42,62	442,6	90,93	2,5	-0,69266055
2	90,39	-77,125	205	-41,24	298,7	70,99	2,8	-0,752542373
2	92,36	-76,469	140	-43,97	437,5	77,92	2,4	-0,805660377
2	106,7	-82,062	140	-41,64	403	85,82	2,5	-0,898148148
2	127,8	-78,469	120	-41,81	429,3	77,72	2,2	-0,969473684
2	118,7	-77,41	155	-35,94	384,9	82,29	2,3	-1,023
2	67,89	-72,25	205	-40,67	432,7	82,92	2,3	-1,069230769
2	248,9	-67,938	45	-43,34	430,2	74,22	2,8	-1,090625
2	124,2	-76,719	130	-39,26	415,5	82,5	2,3	-1,171559633
2	189,6	-72,219	110	-37,71	422,4	74,38	2,4	-1,225806452
2	128,8	-74,156	115	-42,96	393,7	85,42	2,1	-1,258163265
2	233,6	-78,125	65	-42,58	500,8	89,99	2,1	-1,425287356
1	121,3266194	-85,56	170	-31,86	478,8	58,25805664	4,125	-0,407384533
1	73,10165763	-83,6555	220	-34,985	456,78	77,31628418	3,774993896	-0,440638752
1	128,0673146	-82,66135	170	-33,14	481,91	63,72070313	4,349990845	-0,532718937
1	300,4174232	-82,85075	70	-31,575	253,52	46,43249512	6,175003052	-0,600663548
1	169,065237	-81,8132	140	-28,58	504,4	45,53222656	4,200012207	-0,647596803
1	389,9636507	-80,9945	80	-32,745	477,375	56,86950684	6,225006104	-0,672159464
1	96,05060518	-81,4239	140	-33,265	471,49	69,01550293	3,800018311	-0,698950858
1	77,96582282	-84,9653	220	-34,7	419,87	78,09448242	3,050003052	-0,788371341
1	129,8072338	-84,7248	200	-34,515	390,715	70,09887695	4,050018311	-0,790994162
1	230,8217049	-84,6826	140	-32,87	485,41	53,77197266	3,399993896	-1,199535709
2	87,30352521	-86,0903	190	-39,69	392,87	71,25854492	3,824996948	-0,391960518
2	99,06807244	-83,9958	160	-38,255	334,025	76,43127441	3,774993896	-0,449732605
2	117,9806232	-82,4977	160	-35,245	490,46	70,73974609	4,474990845	-0,532481758
2	118,5188293	-84,825	210	-30,61	437,895	63,62915039	2,725006104	-0,55955467
2	135,0372016	-86,0927	150	-37,525	362,3	72,99804688	3,625	-0,874287193
2	72,402215	-83,3613	140	-32,685	243,865	60,66894531	4,125	-0,923497722
2	174,867779	-85,0727	120	-35,34	519,13	71,44165039	3,774993896	-1,075619826
2	122,9396239	-81,27535	100	-37,825	393,385	68,26782227	3,425003052	-1,21942481
1	144,2886257	-71,64	100	-42,33	167,91	92,75	4,74	-0,140074759
1	171,9635391	-71,41	120	-24,14	113,25	61,54	6,42	-0,145005371
1	297,1802521	-73,33	80	-37,74	170,08	40,48	3,27	-0,156285606
1	305,3779793	-78,24	40	-44,86	38,9	83,24	8,75	-0,157622739
1	122,0895958	-69,29	120	-35,06	34,79	74,55	4,31	-0,157707911
1	176,1560249	-79,71	100	-37,89	270,07	74,66	3,3	-0,161694851
1	56,20191097	-76,16	100	-32,87	189,95	89,08	2,76	-0,164173725
1	144,2068768	-80,91	130	-31,58	193,98	59,17	5,56	-0,16778328
1	154,8044395	-81,72	140	-30,1	358,58	63,27	4,17	-0,179072276
1	135,3397274	-78,36	120	-20,05	112,44	46,18	5,97	-0,207715134
1	352,3508453	-54,54	50	-16,04	55,1	28,73	4,77	-0,21325167
