nClass 	IR	RMP	RH	ST	DTFS	SA	SD	fAHP
1	122.089595794678	-69.29	120	-35.06	34.79	74.55	4.31	-0.157707910750507
1	194.412841796875	-80.57	110	-37.11	97.02	78.43	3.6	-0.256867112100965
1	145.267286300659	-80.91	90	-24.81	400.98	56.95	4.57	-0.259652291713705
1	144.206876754761	-80.91	130	-31.58	193.98	59.17	5.56	-0.16778327993009
1	327.990570068358	69.53	50	-22.32	286.51	33.68	7.38	-0.225636321944508
1	236.57917022705	-71.67	70	-33.38	83.83	74.63	3.91	-0.365411053065713
1	154.804439544678	-81.72	140	-30.1	358.58	63.27	4.17	-0.179072276159655
1	82.5395774841308	-79.37	120	-26.35	127.08	71.35	3.99	-0.292146596858639
1	164.833602905273	-80.64	110	-25.37	97.8	67.34	6.92	-0.265440965239874
1	144.288625717163	-71.64	100	-42.33	167.91	92.75	4.74	-0.14007475900059
1	442.005615234374	-64.61	50	-29.46	201.02	82.4	5.41	-0.227492935002019
1	312.654914855956	-66.81	70	-32.99	77.41	85.75	4.65	-0.214359611007656
1	171.963539123535	-71.41	120	-24.14	113.25	61.54	6.42	-0.14500537056928
1	174.385375976562	-80.75	110	-19.38	111.32	41.47	4.27	-0.343528654217643
1	305.377979278564	-78.24	40	-44.86	38.9	83.24	8.75	-0.157622739018088
1	176.156024932861	-79.71	100	-37.89	270.07	74.66	3.3	-0.161694850845525
1	56.2019109725952	-76.16	100	-32.87	189.95	89.08	2.76	-0.164173724995495
1	297.180252075194	-73.33	80	-37.74	170.08	40.48	3.27	-0.156285605772883
1	158.978624343872	-79.81	110	-32.57	118.39	76.74	4.75	-0.224911971830986
1	145.564765930176	-73.14	130	-22.7	211.39	65.94	4.2	-0.330056598153113
1	175.396041870117	-68.95	130	-21.4	215.59	63.47	4.46	-0.289314950452391
1	352.350845336914	-54.54	50	-16.04	55.1	28.73	4.77	-0.213251670378619
1	135.339727401733	-78.36	120	-20.05	112.44	46.18	5.97	-0.207715133531157
1	260.41519165039	-76.07	70	-31.89	38.53	60.83	3.45	-0.419555901830931
1	141.820087432861	-82.06	110	-26.35	107.95	62.07	5.59	-0.342521008403361
1	117.058258056641	-79.45	160	-26.42	127.8	75.38	3.4	-0.357429718875502
1	138.175058364868	-84.64	90	-26.12	224.33	51.33	6.57	-0.312188491164477
1	273.318443298338	-81.08	70	-18.96	152.75	63.6	6.56	-0.404619826756497
2	162.719306945801	-82.99	100	-30.09	371.79	72	7.93	-0.176488319517709
2	103.257713317871	-81.24	190	-15.95	99.38	45.78	5.2	-0.108883786647828
2	131.90541267395	-85.67	100	-31.38	63.09	52.68	8.14	-0.142990779099292
2	66.3689374923706	-83.4	190	-38.85	434.85	89.08	4.23	-0.173408685306365
2	104.537467956543	-77.5	120	-24.11	108.18	49.6	10.8	-0.176960309777348
2	109.380731582642	-77.9	100	-33.54	93.21	58.17	9.14	-0.131763059701493
2	60.4848194122314	-81.71	190	-36.08	343.33	86.15	4.75	-0.147714514835605
2	134.67999458313	-74.22	120	-26.56	124.58	57.8	6.27	-0.220595788392399
2	121.476736068725	-74.45	170	-22.23	58.38	55.29	6	-0.212994772218073
2	315.948696136474	-79.56	50	-35.92	341.23	68.67	7.45	-0.139612452350699
2	87.0918464660644	-78.19	190	-31.47	342.24	83.7	3.48	-0.220595574779571
2	155.958013534546	-81.3	110	-30.06	436.19	64.05	6.15	-0.172946692134051
2	224.433879852294	-83.18	60	-26.57	100.82	59.44	8.78	-0.340306423099588
2	168.426933288574	-80.61	90	-33.81	174.75	85.49	5.51	-0.184723304754482
2	97.1833515167236	-81.61	180	-33.2	224.68	89.92	4.51	-0.168479262672811
2	253.540897369384	-75.5	80	-19.7	209.37	47.52	12.49	-0.240631163708087
2	132.006101608276	-73.09	150	-32.9	62.82	79.34	4.17	-0.153846153846154
2	178.528003692627	-90.58	80	-39.75	205.52	72.96	5.94	-0.135367762128326
2	105.495014190674	-78.86	170	-30.91	141.68	71.16	3.87	-0.246694936393115
2	83.4830093383788	-79.82	190	-28.99	136.12	77.91	3.84	-0.276172868037902
2	162.719306945801	-88.63	190	-8.63	273.57	40.7	3.87	-0.380720939651681
2	68.633713722229	-84.96	190	-29.29	86.2	52.73	5.92	-0.237826541274817
2	178.29906463623	-78.45	110	-28.51	44.29	61.15	8.61	-0.218473451327434
2	103.257713317871	-81.24	190	-14.72	99.61	44.6	4.7	-0.118621778011573
2	131.90541267395	-85.67	100	-36.26	62.85	69.01	5.81	-0.171198229528928
